agreement_id,title_short,year,weapon_broad,actual_score,llm_score,llm_confidence,llm_reasoning
70005,Treaty for the Prohibition of Nuclear Weapons in Latin America and the Caribbean pursuant to resolution 290 (VII),1992,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWStXAoEUwc3veBeWDH'}"
80,Outer Space Treaty,1967,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWStvEMsrhh54LNHhbi'}"
90,NPT,1968,Nuclear Weapons,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSuYSXs5RBJpVUYWFe'}"
100,Accidents Measures Agreement,1971,Nuclear Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSv6BWGnnNmkXs78mB'}"
110,Seabed Treaty,1971,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSvfQhQE9RQRP4cnKg'}"
120,Incidents at Sea Agreement,1972,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSw7gwB76djQ25E2KK'}"
140204,S.C.C Agreed Statements (Nov 01 1978),1978,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSwYz8sYzizry8nvav'}"
140205,S.C.C Common Understandings (Jun 06 1985),1985,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSx3kQD3web27o4yjx'}"
120001,High Seas Protocol I,1973,Conventional Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSxPbHP1RcWozAABTH'}"
130,BWC,1972,Biological / Chemical Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSxpdqXnfeG7zSZSPW'}"
1401,Interim Agreement,1972,Strategic Delivery Systems,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSygUtkyTDH4Hso8UG'}"
1402,ABM Treaty,1972,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSzBjnuU1AkH7Yhpw1'}"
140201,Protocol To The Treaty Between The United States of America And The Union of Soviet Socialist Republics On The Limitation Of Anti-Ballistic Missile Systems,1974,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWSzgkSzC4BNE8ZkWfQ'}"
140202,"Protocol on Procedures Governing Replacement, Dismantling or Destruction, and Notification Thereof, for ABM Systems and Their Components (July 3, 1974)",1974,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT14KqNFAgS8uoXbYb'}"
140203,Supplementary Protocol on Replacement,1976,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT1oED35JDjKmk7UPX'}"
140206,"Memorandum Of Understanding Relating To The Treaty Between The United States of America And The Union of Soviet Socialist Republics On The Limitation Of AntiBallistic Missile Systems Of May 26, 1972",1997,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT2TAVdr2eJg26U9ST'}"
1403,SALT II,1979,Strategic Delivery Systems,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT2pjwR38YZwpQntWX'}"
142,Vladivostok Agreement,1974,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT396LTyjnCfVN4thP'}"
150,Prevention of Nuclear War Agreement,1973,Nuclear Weapons,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT8DgbiKnVGNZ1UWwM'}"
160,"Threshold Test ban Treaty, TTBT",1974,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT8am1brbk2TAQmcbJ'}"
170,"Peaceful Nuclear Explosions, PNE",1976,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT8xqMRDL8aJpAcb9U'}"
180,ENMOD,1977,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT9UqR3byJit82YUip'}"
185,Cooperation Agreement between Brazil and Argentina for the Development and Application of Peaceful Uses of Nuclear Energy,1980,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWT9rAJLZTRmcg9B1Zn'}"
190,"CCW, CCWC",1981,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTALgJUShwzFe4e9tf'}"
190001,Protocol I on Non-Detectable Fragments,1981,Conventional Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTAnUHafaeugt7L3td'}"
190002,"Protocol II on Mines, BoobyTraps and Other Devices",1981,Conventional Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTBAno6fVB4K1qWxnV'}"
190003,Protocol III on Incediary Weapons,1981,Conventional Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTBX7pPuTQpoYKBntd'}"
190004,Protocol IV on Binding Laser Weapons,1995,Conventional Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTBvve7DqyKDP8WL1V'}"
190005,"Protocol II(Amended) on Mines, BoobyTraps and Other Devices",1996,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTCRC6uEctMzaiP9nX'}"
190006,Amendment to the Convention on Certain Conventional Weapons,2001,Conventional Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTD9boMvs8mu9dzTH7'}"
190007,Protocol V on Explosive Reminants of War,2003,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTDzCpET6tnfMdFLUm'}"
200,Moon Agreement,1984,Nuclear Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTEaRd9n5H6S77Agrf'}"
210,Treaty of Rarotonga,1985,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTF3wpY9nXErgAUC9h'}"
210001,Protocol 1 to the South Pacific Nuclear-Weapon-Free Zone Treaty,1986,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTFTG6sQEs72rxS2Eq'}"
210002,Protocol 2 to the South Pacific Nuclear-Weapon-Free Zone Treaty,1986,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTFvnCNVK44QbEzu5r'}"
210003,Protocol 3 to the South Pacific Nuclear-Weapon-Free Zone Treaty,1986,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTGPKQDUVVgmiiQ5ux'}"
280201,START II Protocol II,1997,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTGvp3Em1UEi4bqjWf'}"
220,Stockholm Document,1986,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTHRKsX37E2jcg1r9R'}"
230,NRRC Agreement,1987,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTN4sWtXAD2aZxz8dE'}"
240,INF,1987,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTNNyWqLMfhrMBHjMy'}"
250,Ballistic Missile Launch Notification Agreement,1988,Strategic Delivery Systems,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTNh5Uzsfbegy8fe8G'}"
320,,1994,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTP4QEkrVXRoKsqpa8'}"
260,India Pakistan Non-Attack Agreement,1988,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTPWCJXzeoq1vbDRR7'}"
264,MSE Agreement,1989,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTPxj2eFakoDLV2sLg'}"
266,DMA Agreement,1989,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTQKJydgDWg4kY5d5r'}"
270,CFE,1990,Conventional Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTQk6zs1tzPn6JfYiX'}"
270001,Adaptation of the Treaty on Conventional Armed Forces in Europe ,1999,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTRQnp5qWSnBqUrdhS'}"
272,BDA Agreement,1990,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTSABxfMKa6wTjKkhD'}"
2801,START I,1991,Strategic Delivery Systems,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTShBPeMqvfHzTtopd'}"
2802,START II,1993,Strategic Delivery Systems,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTT22YF72C7tA7yS7y'}"
2803,New START Treaty,2010,Strategic Delivery Systems,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTTN7eDCrxdNxouJ6r'}"
282,Mendoza Agreement,1991,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTTkS4kVxMY539VK8E'}"
284,Guadalajara Agreement,1991,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTUCE5mVdLHkqfj9cY'}"
286,Quadripartite Agreement,1991,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTUZo4yoeZmBEus6zY'}"
410,Joint Statement of the Fourth Round of the Six-Party Talks Beijing,2005,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTV3KjBj5H1JKWAU4k'}"
288,India-Pakistan Agreement on Chemical Weapons,1991,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTVSPJEgMrxwNu7AQH'}"
290,Declaration of South and Democratic People's Republic of Korea on the Denuclearization of the Korean Peninsula,1992,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTVoxaiAyECbxHd2sH'}"
292,Nunn-Lugar Cooperative Threat Reduction (CTR) Umbrella Agreement,1992,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTWGFF9m96yc7Lm9sH'}"
300,Treaty on Open Skies,1992,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTc4k4hxgZmLRYcMkg'}"
310,CWC ,1993,Biological / Chemical Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTcR5JEmTyxzE4nDUv'}"
312,Russian-U.S. agreement concerning the disposition of highly enriched uranium extracted from nuclear weapons,1993,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTcwLEJtAK7szLHhXR'}"
314,"Agreement between the US and Ukraine Concerning Assistance to Ukraine on the Elimination of Strategic Nuclear Arms, and the Prevention of Proliferation of WMD",1993,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTdR6r7LTU6M4n9uL7'}"
316,"Agreement between the US and Republic of Kazakhstan Concearning the destruction of Silo launchers of Inercontinental Ballisic Missiles, Emergency response, and the prevention of proliferation of WMD",1993,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTdstHBLxenXpsagxM'}"
330,Bangkok Treaty,1995,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTeTN7ZEA9AxCJgVWG'}"
